DATE,intake,avg_price
2025-04-12,114,9363
2025-04-11,177,9440
2025-04-10,181,11062
2025-04-09,159,11624
2025-04-08,177,11194
2025-04-07,218,11858
2025-04-05,134,12279
2025-04-04,169,13254
2025-04-03,170,14291
2025-04-02,127,14170
2025-04-01,137,13460
2025-03-31,132,14063
2025-03-30,0,0
2025-03-29,101,11024
2025-03-28,144,11124
2025-03-27,172,11601
2025-03-26,156,12523
2025-03-25,183,13020
2025-03-24,185,13914
2025-03-23,0,0
2025-03-22,150,12838
2025-03-21,187,12304
2025-03-20,222,12157
2025-03-19,177,14373
2025-03-18,135,15782
2025-03-17,174,14341
2025-03-16,0,0
2025-03-15,99,14452
2025-03-14,173,12902
2025-03-13,157,13844
2025-03-12,180,13194
2025-03-11,187,13160
2025-03-10,192,13867
2025-03-08,163,13358
2025-03-07,231,14679
2025-03-06,229,15538
2025-03-04,160,16803
2025-03-03,136,16434
2025-03-01,84,15875
2025-02-28,114,15837
2025-02-27,122,15119
2025-02-26,117,15488
2025-02-25,127,15213
2025-02-24,105,15532
2025-02-23,0,0
2025-02-22,85,14831
2025-02-21,111,14063
2025-02-20,113,13891
2025-02-19,137,13224
2025-02-18,157,13595
2025-02-17,152,13959
2025-02-16,0,0
2025-02-15,140,13722
2025-02-14,147,14342
2025-02-13,141,15440
2025-02-12,0,0
2025-02-11,152,15132
2025-02-10,143,15136
2025-02-08,72,14577
2025-02-07,85,14980
2025-02-06,104,13938
2025-02-05,137,13944
2025-02-04,117,15041
2025-02-03,100,15437
2025-02-01,68,15951
2025-01-31,0,0
2025-01-30,0,0
2025-01-29,0,0
2025-01-28,27,12634
2025-01-27,85,14861
2025-01-26,0,0
2025-01-25,123,13630
2025-01-24,155,13200
2025-01-23,171,12568
2025-01-22,174,12929
2025-01-21,190,12726
2025-01-20,196,12695
2025-01-19,0,0
2025-01-18,96,13411
2025-01-17,167,13506
2025-01-16,123,14751
2025-01-15,142,14609
2025-01-14,109,14701
2025-01-13,135,14402
2025-01-12,0,0
2025-01-11,67,14728
2025-01-10,116,14097
2025-01-09,161,14175
2025-01-08,135,15849
2025-01-07,151,15198
2025-01-06,168,15386
2025-01-04,115,15956
2025-01-03,114,17471
2025-01-02,0,17295
2025-01-01,0,0
2024-12-31,54,17295
2024-12-30,101,12237
2024-12-29,0,0
2024-12-28,86,11376
2024-12-27,101,11163
2024-12-26,83,11464
2024-12-25,122,10511
2024-12-24,131,11229
2024-12-23,134,11596
2024-12-22,0,0
2024-12-21,91,12148
2024-12-20,94,11843
2024-12-19,137,9730
2024-12-18,72,12517
2024-12-17,164,9363
2024-12-16,121,11615
2024-12-15,0,0
2024-12-14,156,9397
2024-12-13,177,9397
2024-12-12,158,9477
2024-12-11,120,9656
2024-12-10,123,8842
2024-12-09,194,8834
2024-12-07,187,9233
2024-12-06,281,9195
2024-12-05,226,10342
2024-12-04,206,9416
2024-12-03,240,8498
2024-12-02,338,7313
2024-12-01,0,0
2024-11-30,316,8435
2024-11-29,395,9361
2024-11-28,221,13956
2024-11-27,262,10067
2024-11-26,302,9920
2024-11-25,304,9170
2024-11-24,0,0
2024-11-23,404,8031
2024-11-22,377,9430
2024-11-21,316,8656
2024-11-20,321,7489
2024-11-19,298,7130
2024-11-18,375,6806
2024-11-17,0,0
2024-11-16,370,8143
2024-11-15,329,8842
2024-11-14,272,8426
2024-11-13,255,7597
2024-11-12,299,6972
2024-11-11,268,8270
2024-11-09,279,7627
2024-11-08,244,8562
2024-11-07,225,8515
2024-11-06,222,8533
2024-11-05,240,8499
2024-11-04,231,8709
2024-11-02,169,9241
2024-11-01,203,9045
2024-10-31,209,8692
2024-10-30,229,8753
2024-10-29,190,11021
2024-10-28,235,9706
2024-10-27,0,0
2024-10-26,197,10784
2024-10-25,242,10665
2024-10-24,180,12599
2024-10-23,138,15589
2024-10-22,198,15928
2024-10-21,172,16681
2024-10-20,0,0
2024-10-19,161,12803
2024-10-18,228,18809
2024-10-17,216,20866
2024-10-16,163,24031
2024-10-15,190,23515
2024-10-14,162,26759
2024-10-13,0,0
2024-10-12,145,23196
2024-10-11,175,21761
2024-10-10,218,20129
2024-10-09,194,23251
2024-10-08,180,23978
2024-10-07,237,23270
2024-10-05,129,27657
2024-10-04,164,25797
2024-10-03,140,27600
2024-10-02,123,27088
2024-10-01,131,25313
2024-09-30,163,23019
2024-09-29,0,0
2024-09-28,165,19198
2024-09-27,218,21139
2024-09-26,228,19921
2024-09-25,187,24551
2024-09-24,185,25141
2024-09-23,162,35686
2024-09-22,0,0
2024-09-21,156,28933
2024-09-20,275,26568
2024-09-19,0,0
2024-09-17,0,0
2024-09-16,57,29964
2024-09-15,0,0
2024-09-14,147,41483
2024-09-13,170,26069
2024-09-12,274,24291
2024-09-11,296,23295
2024-09-10,364,21359
2024-09-09,330,20724
2024-09-07,225,20785
2024-09-06,265,22691
2024-09-05,237,25733
2024-09-04,222,25007
2024-09-03,249,20771
2024-09-02,224,20901
2024-09-01,0,0
2024-08-31,153,21388
2024-08-30,156,20115
2024-08-29,200,18212
2024-08-28,177,19714
2024-08-27,232,15783
2024-08-26,273,17616
2024-08-25,0,0
2024-08-24,161,19505
2024-08-23,178,18371
2024-08-22,144,17161
2024-08-21,161,16156
2024-08-20,162,15875
2024-08-19,199,15890
2024-08-18,0,0
2024-08-17,125,18176
2024-08-16,128,18359
2024-08-15,152,17259
2024-08-14,129,19262
2024-08-13,169,16265
2024-08-12,193,16866
2024-08-11,0,0
2024-08-10,148,17825
2024-08-09,156,17708
2024-08-08,133,17435
2024-08-07,131,16855
2024-08-06,170,12430
2024-08-05,187,12988
2024-08-02,151,14172
2024-08-01,142,12791
2024-07-31,148,11547
2024-07-30,202,10864
2024-07-29,177,11911
2024-07-28,0,0
2024-07-27,111,13421
2024-07-26,172,10032
2024-07-25,199,9658
2024-07-24,133,12700
2024-07-23,174,11757
2024-07-22,178,11984
2024-07-21,0,0
2024-07-20,127,12380
2024-07-19,114,13641
2024-07-18,118,10717
2024-07-17,126,11181
2024-07-16,191,8330
2024-07-15,181,9394
2024-07-14,0,0
2024-07-13,149,9751
2024-07-12,154,10642
2024-07-11,100,12150
2024-07-10,175,8578
2024-07-09,108,10221
2024-07-08,158,8557
2024-07-06,131,8669
2024-07-05,225,7492
2024-07-04,121,9949
2024-07-03,199,8037
2024-07-02,162,9470
2024-07-01,137,10058
2024-06-30,0,0
2024-06-29,136,9344
2024-06-28,131,8633
2024-06-27,163,6915
2024-06-26,171,6614
2024-06-25,141,7253
2024-06-24,145,6982
2024-06-23,0,0
2024-06-22,111,7328
2024-06-21,118,6947
2024-06-20,183,5631
2024-06-19,158,6137
2024-06-18,179,5936
2024-06-17,133,7108
2024-06-16,0,0
2024-06-15,149,5617
2024-06-14,108,8020
2024-06-13,121,7553
2024-06-12,115,7031
2024-06-11,187,5794
2024-06-10,127,7159
2024-06-08,96,6936
2024-06-07,108,7270
2024-06-06,111,6663
2024-06-05,142,6056
2024-06-04,172,6028
2024-06-03,143,6656
2024-06-01,109,6168
2024-05-31,158,6435
2024-05-30,118,7510
2024-05-29,107,7732
2024-05-28,120,6730
2024-05-27,164,6312
2024-05-26,0,0
2024-05-25,118,6153
2024-05-24,116,6905
2024-05-23,147,5953
2024-05-22,136,5981
2024-05-21,172,5923
2024-05-20,231,6143
2024-05-19,0,0
2024-05-18,99,10448
2024-05-17,151,10520
2024-05-16,144,10641
2024-05-15,156,12229
2024-05-14,159,13012
2024-05-13,159,13776
2024-05-12,0,0
2024-05-11,73,13824
2024-05-10,117,13539
2024-05-09,142,11975
2024-05-08,119,12133
2024-05-07,153,11904
2024-05-06,150,12966
2024-05-04,124,13585
2024-05-03,141,14264
2024-05-02,113,15566
2024-05-01,106,13688
2024-04-30,139,12483
2024-04-29,144,13880
2024-04-28,0,0
2024-04-27,109,14261
2024-04-26,131,14776
2024-04-25,149,13787
2024-04-24,132,14542
2024-04-23,130,14531
2024-04-22,117,15302
2024-04-21,0,0
2024-04-20,103,14259
2024-04-19,131,14787
2024-04-18,108,16355
2024-04-17,128,16339
2024-04-16,140,16020
2024-04-15,145,17378
2024-04-14,0,0
2024-04-13,87,17126
2024-04-12,117,15450
2024-04-11,124,15252
2024-04-10,128,15833
2024-04-09,123,16122
2024-04-08,112,14522
2024-04-06,96,13025
2024-04-05,124,13162
2024-04-04,125,13508
