DATE,intake
2025-04-12,327
2025-04-11,507
2025-04-10,518
2025-04-09,455
2025-04-08,508
2025-04-07,624
2025-04-05,383
2025-04-04,484
2025-04-03,486
2025-04-02,365
2025-04-01,393
2025-03-31,379
2025-03-29,289
2025-03-28,414
2025-03-27,493
2025-03-26,447
2025-03-25,523
2025-03-24,531
2025-03-22,430
2025-03-21,535
2025-03-20,637
2025-03-19,508
2025-03-18,387
2025-03-17,498
2025-03-15,284
2025-03-14,495
2025-03-13,450
2025-03-12,516
2025-03-11,536
2025-03-10,549
2025-03-08,466
2025-03-07,661
2025-03-06,655
2025-03-04,459
2025-03-03,389
2025-03-01,241
2025-02-28,326
2025-02-27,351
2025-02-26,336
2025-02-25,363
2025-02-24,302
2025-02-22,243
2025-02-21,318
2025-02-20,324
2025-02-19,392
2025-02-18,450
2025-02-17,437
2025-02-15,400
2025-02-14,420
2025-02-13,405
2025-02-11,435
2025-02-10,410
2025-02-08,208
2025-02-07,243
2025-02-06,298
2025-02-05,393
2025-02-04,336
2025-02-03,286
2025-02-01,196
2025-01-28,78
2025-01-27,244
2025-01-25,352
2025-01-24,443
2025-01-23,491
2025-01-22,498
2025-01-21,545
2025-01-20,560
2025-01-18,276
2025-01-17,479
2025-01-16,353
2025-01-15,408
2025-01-14,314
2025-01-13,388
2025-01-11,194
2025-01-10,333
2025-01-09,460
2025-01-08,387
2025-01-07,432
2025-01-06,481
2025-01-04,331
2025-01-03,328
2024-12-31,155
2024-12-30,291
2024-12-28,246
2024-12-27,289
2024-12-26,238
2024-12-25,351
2024-12-24,375
2024-12-23,384
2024-12-21,260
2024-12-20,269
2024-12-19,393
2024-12-18,207
2024-12-17,471
2024-12-16,348
2024-12-14,448
2024-12-13,508
2024-12-12,454
2024-12-11,343
2024-12-10,354
2024-12-09,557
2024-12-07,535
2024-12-06,804
2024-12-05,646
2024-12-04,590
2024-12-03,688
2024-12-02,966
2024-11-30,903
2024-11-29,1129
2024-11-28,632
2024-11-27,751
2024-11-26,865
2024-11-25,870
2024-11-23,1156
2024-11-22,1079
2024-11-21,903
2024-11-20,919
2024-11-19,853
2024-11-18,1073
2024-11-16,1058
2024-11-15,940
2024-11-14,779
2024-11-13,729
2024-11-12,856
2024-11-11,767
2024-11-09,799
2024-11-08,699
2024-11-07,644
2024-11-06,636
2024-11-05,686
2024-11-04,662
2024-11-02,485
2024-11-01,581
2024-10-31,599
2024-10-30,656
2024-10-29,543
2024-10-28,673
2024-10-26,563
