DATE,unit,rate,avg_price
2025-04-12,10,특,15783 
2025-04-12,10,상,9363 
2025-04-12,10,중,6529 
2025-04-12,10,하,5024 
2025-04-11,10,특,15506 
2025-04-11,10,상,9440 
2025-04-11,10,중,6509 
2025-04-11,10,하,4382 
2025-04-10,10,특,16280 
2025-04-10,10,상,11062 
2025-04-10,10,중,7282 
2025-04-10,10,하,5039 
2025-04-09,10,특,17018 
2025-04-09,10,상,11624 
2025-04-09,10,중,7302 
2025-04-09,10,하,4988 
2025-04-08,10,특,17007 
2025-04-08,10,상,11194 
2025-04-08,10,중,7362 
2025-04-08,10,하,5473 
2025-04-07,10,특,16938 
2025-04-07,10,상,11858 
2025-04-07,10,중,7590 
2025-04-07,10,하,5965 
2025-04-05,10,특,17720 
2025-04-05,10,상,12279 
2025-04-05,10,중,7525 
2025-04-05,10,하,6554 
2025-04-04,10,특,17250 
2025-04-04,10,상,13254 
2025-04-04,10,중,8677 
2025-04-04,10,하,6604 
2025-04-03,10,특,17964 
2025-04-03,10,상,14291 
2025-04-03,10,중,9422 
2025-04-03,10,하,7044 
2025-04-02,10,특,17875 
2025-04-02,10,상,14170 
2025-04-02,10,중,8907 
2025-04-02,10,하,6674 
2025-04-01,10,특,17360 
2025-04-01,10,상,13460 
2025-04-01,10,중,8290 
2025-04-01,10,하,5834 
2025-03-31,10,특,18405 
2025-03-31,10,상,14063 
2025-03-31,10,중,8857 
2025-03-31,10,하,7143 
2025-03-30,10,특,0 
2025-03-30,10,상,0 
2025-03-30,10,중,0 
2025-03-30,10,하,0 
2025-03-29,10,특,17865 
2025-03-29,10,상,11024 
2025-03-29,10,중,8089 
2025-03-29,10,하,6932 
2025-03-28,10,특,16025 
2025-03-28,10,상,11124 
2025-03-28,10,중,8220 
2025-03-28,10,하,6694 
2025-03-27,10,특,16383 
2025-03-27,10,상,11601 
2025-03-27,10,중,8488 
2025-03-27,10,하,7233 
2025-03-26,10,특,16767 
2025-03-26,10,상,12523 
2025-03-26,10,중,8496 
2025-03-26,10,하,7198 
2025-03-25,10,특,16866 
2025-03-25,10,상,13020 
2025-03-25,10,중,9132 
2025-03-25,10,하,7686 
2025-03-24,10,특,17664 
2025-03-24,10,상,13914 
2025-03-24,10,중,9473 
2025-03-24,10,하,7720 
2025-03-23,10,특,0 
2025-03-23,10,상,0 
2025-03-23,10,중,0 
2025-03-23,10,하,0 
2025-03-22,10,특,17128 
2025-03-22,10,상,12838 
2025-03-22,10,중,8478 
2025-03-22,10,하,7172 
2025-03-21,10,특,16783 
2025-03-21,10,상,12304 
2025-03-21,10,중,9434 
2025-03-21,10,하,7279 
2025-03-20,10,특,16439 
2025-03-20,10,상,12157 
2025-03-20,10,중,9519 
2025-03-20,10,하,8460 
2025-03-19,10,특,18178 
2025-03-19,10,상,14373 
2025-03-19,10,중,10582 
2025-03-19,10,하,9015 
2025-03-18,10,특,20598 
2025-03-18,10,상,15782 
2025-03-18,10,중,11374 
2025-03-18,10,하,9505 
2025-03-17,10,특,17919 
2025-03-17,10,상,14341 
2025-03-17,10,중,10056 
2025-03-17,10,하,8106 
2025-03-16,10,특,0 
2025-03-16,10,상,0 
2025-03-16,10,중,0 
2025-03-16,10,하,0 
2025-03-15,10,특,17782 
2025-03-15,10,상,14452 
2025-03-15,10,중,9950 
2025-03-15,10,하,7488 
2025-03-14,10,특,15679 
2025-03-14,10,상,12902 
2025-03-14,10,중,8928 
2025-03-14,10,하,6774 
2025-03-13,10,특,15716 
2025-03-13,10,상,13844 
2025-03-13,10,중,9589 
2025-03-13,10,하,7898 
2025-03-12,10,특,16113 
2025-03-12,10,상,13194 
2025-03-12,10,중,9795 
2025-03-12,10,하,7829 
2025-03-11,10,특,16009 
2025-03-11,10,상,13160 
2025-03-11,10,중,10742 
2025-03-11,10,하,8860 
2025-03-10,10,특,15696 
2025-03-10,10,상,13867 
2025-03-10,10,중,11804 
2025-03-10,10,하,10165 
2025-03-08,10,특,15719 
2025-03-08,10,상,13358 
2025-03-08,10,중,11518 
2025-03-08,10,하,9271 
2025-03-07,10,특,16591 
2025-03-07,10,상,14679 
2025-03-07,10,중,12494 
2025-03-07,10,하,9079 
2025-03-06,10,특,17248 
2025-03-06,10,상,15538 
2025-03-06,10,중,13246 
2025-03-06,10,하,9858 
2025-03-04,10,특,18495 
2025-03-04,10,상,16803 
2025-03-04,10,중,14462 
2025-03-04,10,하,9602 
2025-03-03,10,특,17973 
2025-03-03,10,상,16434 
2025-03-03,10,중,14436 
2025-03-03,10,하,10756 
2025-03-01,10,특,17644 
2025-03-01,10,상,15875 
2025-03-01,10,중,13872 
2025-03-01,10,하,8996 
2025-02-28,10,특,17520 
2025-02-28,10,상,15837 
2025-02-28,10,중,13860 
2025-02-28,10,하,9334 
2025-02-27,10,특,17143 
2025-02-27,10,상,15119 
2025-02-27,10,중,13878 
2025-02-27,10,하,10597 
2025-02-26,10,특,16559 
2025-02-26,10,상,15488 
2025-02-26,10,중,13941 
2025-02-26,10,하,10330 
2025-02-25,10,특,16624 
2025-02-25,10,상,15213 
2025-02-25,10,중,13483 
2025-02-25,10,하,8850 
2025-02-24,10,특,16410 
2025-02-24,10,상,15532 
2025-02-24,10,중,13588 
2025-02-24,10,하,8778 
2025-02-23,10,특,0 
2025-02-23,10,상,0 
2025-02-23,10,중,0 
2025-02-23,10,하,0 
2025-02-22,10,특,16313 
2025-02-22,10,상,14831 
2025-02-22,10,중,12429 
2025-02-22,10,하,8449 
2025-02-21,10,특,16146 
2025-02-21,10,상,14063 
2025-02-21,10,중,12480 
2025-02-21,10,하,9219 
2025-02-20,10,특,16891 
