DATE,intake,avg_price
2025-04-12,16,15783
2025-04-11,25,15506
2025-04-10,25,16280
2025-04-09,22,17018
2025-04-08,25,17007
2025-04-07,31,16938
2025-04-05,19,17720
2025-04-04,24,17250
2025-04-03,24,17964
2025-04-02,18,17875
2025-04-01,19,17360
2025-03-31,18,18405
2025-03-30,0,0
2025-03-29,14,17865
2025-03-28,20,16025
2025-03-27,24,16383
2025-03-26,22,16767
2025-03-25,26,16866
2025-03-24,26,17664
2025-03-23,0,0
2025-03-22,21,17128
2025-03-21,26,16783
2025-03-20,31,16439
2025-03-19,25,18178
2025-03-18,19,20598
2025-03-17,24,17919
2025-03-16,0,0
2025-03-15,14,17782
2025-03-14,24,15679
2025-03-13,22,15716
2025-03-12,25,16113
2025-03-11,26,16009
2025-03-10,27,15696
2025-03-08,23,15719
2025-03-07,33,16591
2025-03-06,32,17248
2025-03-04,22,18495
2025-03-03,19,17973
2025-03-01,12,17644
2025-02-28,16,17520
2025-02-27,17,17143
2025-02-26,16,16559
2025-02-25,18,16624
2025-02-24,15,16410
2025-02-23,0,0
2025-02-22,12,16313
2025-02-21,15,16146
2025-02-20,16,16891
2025-02-19,19,15462
2025-02-18,22,15883
2025-02-17,21,16460
2025-02-16,0,0
2025-02-15,20,16433
2025-02-14,21,16990
2025-02-13,20,17780
2025-02-12,0,0
2025-02-11,21,17185
2025-02-10,20,16971
2025-02-08,10,16839
2025-02-07,12,17282
2025-02-06,14,16639
2025-02-05,19,15216
2025-02-04,16,17050
2025-02-03,14,17432
2025-02-01,9,16800
2025-01-31,0,0
2025-01-30,0,0
2025-01-29,0,0
2025-01-28,3,15522
2025-01-27,12,16441
2025-01-26,0,0
2025-01-25,17,15881
2025-01-24,22,15867
2025-01-23,24,15486
2025-01-22,24,14932
2025-01-21,27,14713
2025-01-20,28,14948
2025-01-19,0,0
2025-01-18,13,14922
2025-01-17,23,15018
2025-01-16,17,16438
2025-01-15,20,16354
2025-01-14,15,16579
2025-01-13,19,16548
2025-01-12,0,0
2025-01-11,9,16778
2025-01-10,16,16019
2025-01-09,23,16292
2025-01-08,19,17357
2025-01-07,21,16582
2025-01-06,24,16811
2025-01-04,16,17000
2025-01-03,16,18797
2025-01-02,0,19455
2025-01-01,0,0
2024-12-31,7,19455
2024-12-30,14,13024
2024-12-29,0,0
2024-12-28,12,12242
2024-12-27,14,11966
2024-12-26,11,12433
2024-12-25,17,12149
2024-12-24,18,12487
2024-12-23,19,12625
2024-12-22,0,0
2024-12-21,13,12819
2024-12-20,13,12493
2024-12-19,19,10599
2024-12-18,10,12826
2024-12-17,23,10362
2024-12-16,17,13056
2024-12-15,0,0
2024-12-14,22,10019
2024-12-13,25,10289
2024-12-12,22,10756
2024-12-11,17,10602
2024-12-10,17,9670
2024-12-09,27,9654
2024-12-07,26,10876
2024-12-06,40,10368
2024-12-05,32,11821
2024-12-04,29,10131
2024-12-03,34,9730
2024-12-02,48,9211
2024-12-01,0,0
2024-11-30,45,10014
2024-11-29,56,10992
2024-11-28,31,14920
2024-11-27,37,11736
2024-11-26,43,11219
2024-11-25,43,10228
2024-11-24,0,0
2024-11-23,57,9333
2024-11-22,53,10751
2024-11-21,45,9443
2024-11-20,45,8749
2024-11-19,42,8725
2024-11-18,53,8837
2024-11-17,0,0
2024-11-16,52,9432
2024-11-15,47,10234
2024-11-14,38,9974
2024-11-13,36,8702
2024-11-12,42,8357
2024-11-11,38,9457
2024-11-09,39,8693
2024-11-08,34,10034
2024-11-07,32,9835
2024-11-06,31,10232
2024-11-05,34,9762
2024-11-04,33,10325
2024-11-02,24,10984
2024-11-01,29,11260
2024-10-31,29,11073
2024-10-30,32,12279
2024-10-29,27,13327
2024-10-28,33,12376
2024-10-27,0,0
2024-10-26,28,13181
2024-10-25,34,13721
2024-10-24,25,16272
2024-10-23,19,20718
2024-10-22,28,19989
2024-10-21,24,22832
2024-10-20,0,0
2024-10-19,23,21177
2024-10-18,32,26649
2024-10-17,30,27831
2024-10-16,23,29288
2024-10-15,27,29061
2024-10-14,23,32493
2024-10-13,0,0
2024-10-12,20,30219
2024-10-11,25,28852
2024-10-10,31,29153
2024-10-09,27,28906
2024-10-08,25,30663
2024-10-07,33,30326
2024-10-05,18,34389
2024-10-04,23,31859
2024-10-03,20,31362
2024-10-02,17,33025
2024-10-01,18,31527
2024-09-30,23,34299
2024-09-29,0,0
2024-09-28,23,29463
2024-09-27,31,33730
2024-09-26,32,31502
2024-09-25,26,40379
2024-09-24,26,38845
2024-09-23,23,44344
2024-09-22,0,0
2024-09-21,22,64195
2024-09-20,39,46310
2024-09-19,0,0
2024-09-17,0,0
2024-09-16,8,36049
2024-09-15,0,0
2024-09-14,21,60977
2024-09-13,24,45335
2024-09-12,39,42422
2024-09-11,42,39299
2024-09-10,52,37880
2024-09-09,47,33433
2024-09-07,32,29610
2024-09-06,37,30851
2024-09-05,33,31657
2024-09-04,31,29682
2024-09-03,35,27555
2024-09-02,32,26842
2024-09-01,0,0
2024-08-31,21,25473
2024-08-30,22,24690
2024-08-29,28,22518
2024-08-28,25,23377
2024-08-27,33,20244
2024-08-26,39,21862
2024-08-25,0,0
2024-08-24,23,25110
2024-08-23,25,24100
2024-08-22,20,24550
2024-08-21,23,19900
2024-08-20,23,19205
