DATE,품목명,총반입량,전일,전년
2025-03-24,배추,531,0,0
2025-03-22,배추,430,535,385
2025-03-21,배추,535,637,395
2025-03-20,배추,637,508,361
2025-03-19,배추,508,388,388
2025-03-18,배추,387,498,344
2025-03-17,배추,498,0,0
2025-03-15,배추,284,495,283
2025-03-14,배추,495,450,384
2025-03-13,배추,450,515,264
2025-03-12,배추,516,536,321
2025-03-11,배추,536,549,437
2025-03-10,배추,549,0,0
2025-03-08,배추,466,661,366
2025-03-07,배추,661,655,241
2025-03-06,배추,655,0,322
2025-03-04,배추,459,389,385
2025-03-03,배추,389,0,0
2025-03-01,배추,241,325,301
2025-02-28,배추,326,702,711
2025-02-27,배추,351,336,320
2025-02-26,배추,336,362,290
2025-02-25,배추,363,302,0
2025-02-24,배추,302,0,185
2025-02-22,배추,243,317,274
2025-02-21,배추,318,323,261
2025-02-20,배추,324,391,317
2025-02-19,배추,392,451,381
2025-02-18,배추,450,437,0
2025-02-17,배추,437,0,176
2025-02-15,배추,400,420,267
2025-02-14,배추,420,404,224
2025-02-13,배추,405,0,176
2025-02-11,배추,435,411,0
2025-02-10,배추,410,0,0
2025-02-08,배추,208,243,355
2025-02-07,배추,243,297,368
2025-02-06,배추,298,394,346
2025-02-05,배추,393,336,443
2025-02-04,배추,336,287,0
2025-02-03,배추,286,0,396
2025-02-01,배추,196,0,449
2025-01-28,배추,78,242,0
2025-01-27,배추,244,0,217
2025-01-25,배추,352,443,158
2025-01-24,배추,443,491,235
2025-01-23,배추,491,498,422
2025-01-22,배추,498,544,396
2025-01-21,배추,545,560,0
2025-01-20,배추,560,0,208
2025-01-18,배추,276,478,231
2025-01-17,배추,479,352,243
2025-01-16,배추,353,408,266
2025-01-15,배추,408,314,363
2025-01-14,배추,314,388,0
2025-01-13,배추,388,0,243
2025-01-11,배추,194,334,383
2025-01-10,배추,333,460,248
2025-01-09,배추,460,387,224
2025-01-08,배추,387,431,221
2025-01-07,배추,432,480,0
2025-01-06,배추,481,0,316
2025-01-04,배추,331,329,404
2025-01-03,배추,328,0,414
2024-12-31,배추,155,291,0
2024-12-30,배추,291,0,391
2024-12-28,배추,246,287,435
2024-12-27,배추,289,238,266
2024-12-26,배추,238,350,270
2024-12-25,배추,351,374,345
2024-12-24,배추,375,385,0
2024-12-23,배추,384,0,124
2024-12-21,배추,260,269,379
2024-12-20,배추,269,394,128
2024-12-19,배추,393,207,269
2024-12-18,배추,207,472,354
2024-12-17,배추,471,347,0
2024-12-16,배추,348,0,102
2024-12-14,배추,448,510,215
2024-12-13,배추,508,455,345
2024-12-12,배추,454,343,280
2024-12-11,배추,343,352,278
2024-12-10,배추,354,557,0
2024-12-09,배추,557,0,447
2024-12-07,배추,535,804,548
2024-12-06,배추,804,645,539
2024-12-05,배추,646,589,668
2024-12-04,배추,590,689,846
2024-12-03,배추,688,965,0
2024-12-02,배추,966,0,34
2024-11-30,배추,903,1128,737
2024-11-29,배추,1129,631,560
2024-11-28,배추,632,751,568
2024-11-27,배추,751,865,750
2024-11-26,배추,865,871,0
2024-11-25,배추,870,0,1170
2024-11-23,배추,1156,1079,1317
2024-11-22,배추,1079,904,1027
2024-11-21,배추,903,920,1205
2024-11-20,배추,919,854,1359
2024-11-19,배추,853,1074,0
2024-11-18,배추,1073,0,1003
2024-11-16,배추,1058,941,940
2024-11-15,배추,940,778,845
2024-11-14,배추,779,730,897
2024-11-13,배추,729,856,1070
2024-11-12,배추,856,767,0
2024-11-11,배추,767,0,982
2024-11-09,배추,799,700,983
2024-11-08,배추,699,645,1044
2024-11-07,배추,644,635,521
2024-11-06,배추,636,686,750
2024-11-05,배추,686,662,0
2024-11-04,배추,662,0,0
2024-11-02,배추,485,581,375
2024-11-01,배추,581,600,530
2024-10-31,배추,599,656,513
2024-10-30,배추,656,543,528
2024-10-29,배추,543,673,0
2024-10-28,배추,673,0,568
2024-10-26,배추,563,693,582
2024-10-25,배추,693,517,596
2024-10-24,배추,516,395,622
2024-10-23,배추,395,567,534
2024-10-22,배추,568,493,0
2024-10-21,배추,493,0,433
2024-10-19,배추,461,652,495
2024-10-18,배추,654,619,569
2024-10-17,배추,619,469,623
2024-10-16,배추,468,542,934
2024-10-15,배추,543,462,0
2024-10-14,배추,464,0,550
2024-10-12,배추,416,503,486
2024-10-11,배추,502,623,561
2024-10-10,배추,623,555,595
2024-10-09,배추,555,515,648
2024-10-08,배추,515,679,0
2024-10-07,배추,678,0,533
2024-10-05,배추,370,470,670
2024-10-04,배추,470,400,676
2024-10-03,배추,400,354,653
2024-10-02,배추,354,377,496
2024-10-01,배추,376,467,0
2024-09-30,배추,467,0,0
2024-09-28,배추,474,624,118
2024-09-27,배추,625,653,661
2024-09-26,배추,653,537,940
2024-09-25,배추,537,531,1069
2024-09-24,배추,531,464,0
2024-09-23,배추,464,0,945
2024-09-21,배추,448,786,655
2024-09-20,배추,787,0,927
2024-09-16,배추,163,0,465
2024-09-14,배추,422,489,602
2024-09-13,배추,488,783,729
2024-09-12,배추,783,847,707
2024-09-11,배추,847,1041,615
2024-09-10,배추,1042,944,0
2024-09-09,배추,943,0,500
2024-09-07,배추,644,758,644
2024-09-06,배추,759,678,643
2024-09-05,배추,679,636,535
2024-09-04,배추,636,713,573
2024-09-03,배추,714,640,0
2024-09-02,배추,641,0,552
2024-08-31,배추,438,449,400
2024-08-30,배추,448,572,488
2024-08-29,배추,572,508,450
2024-08-28,배추,508,663,732
2024-08-27,배추,664,782,0
2024-08-26,배추,782,0,366
2024-08-24,배추,462,511,472
2024-08-23,배추,511,411,537
2024-08-22,배추,412,462,552
2024-08-21,배추,462,464,554
2024-08-20,배추,465,570,0
2024-08-19,배추,571,0,349
2024-08-17,배추,359,367,492
2024-08-16,배추,367,437,524
2024-08-15,배추,435,370,478
2024-08-14,배추,370,483,526
2024-08-13,배추,483,553,0
2024-08-12,배추,553,0,544
2024-08-10,배추,425,447,400
2024-08-09,배추,447,382,353
2024-08-08,배추,381,375,565
2024-08-07,배추,375,487,576
2024-08-06,배추,487,536,0
2024-08-05,배추,536,0,0
2024-08-02,배추,433,407,272
2024-08-01,배추,406,425,296
2024-07-31,배추,425,579,373
2024-07-30,배추,579,506,0
2024-07-29,배추,506,0,239
2024-07-27,배추,318,492,296
2024-07-26,배추,492,571,415
2024-07-25,배추,571,380,417
2024-07-24,배추,380,500,374
2024-07-23,배추,499,510,0
2024-07-22,배추,509,0,329
2024-07-20,배추,365,326,390
2024-07-19,배추,326,339,245
2024-07-18,배추,339,361,428
2024-07-17,배추,361,546,636
2024-07-16,배추,547,519,0
2024-07-15,배추,519,0,133
2024-07-13,배추,428,441,255
2024-07-12,배추,441,288,451
2024-07-11,배추,288,502,402
2024-07-10,배추,501,311,365
2024-07-09,배추,311,452,0
2024-07-08,배추,452,0,353
2024-07-06,배추,375,645,229
2024-07-05,배추,645,347,388
2024-07-04,배추,347,571,432
2024-07-03,배추,571,464,519
2024-07-02,배추,464,393,0
2024-07-01,배추,393,0,264
2024-06-29,배추,389,378,477
2024-06-28,배추,377,465,509
2024-06-27,배추,466,491,280
2024-06-26,배추,491,404,418
2024-06-25,배추,404,415,0
2024-06-24,배추,416,0,245
2024-06-22,배추,318,337,281
2024-06-21,배추,338,524,277
2024-06-20,배추,524,454,366
2024-06-19,배추,454,514,369
2024-06-18,배추,513,381,0
2024-06-17,배추,382,0,307
2024-06-15,배추,428,310,248
2024-06-14,배추,310,345,313
2024-06-13,배추,346,329,389
2024-06-12,배추,329,536,329
2024-06-11,배추,536,363,0
2024-06-10,배추,364,0,214
2024-06-08,배추,275,310,295
