DATE,품목명,단위(키로),등급명,평균가격,전일,전년
2025-03-25,배추,10,특,16866 ,17664 ,0 
2025-03-25,배추,10,상,13020 ,13914 ,0 
2025-03-25,배추,10,중,9132 ,9473 ,0 
2025-03-25,배추,10,하,7686 ,7720 ,0 
2025-03-24,배추,10,특,17664 ,0 ,13029 
2025-03-24,배추,10,상,13914 ,0 ,10789 
2025-03-24,배추,10,중,9473 ,0 ,8686 
2025-03-24,배추,10,하,7720 ,0 ,7660 
2025-03-23,배추,10,특,0 ,17128 ,13158 
2025-03-23,배추,10,상,0 ,12838 ,11331 
2025-03-23,배추,10,중,0 ,8478 ,9111 
2025-03-23,배추,10,하,0 ,7172 ,7931 
2025-03-22,배추,10,특,17128 ,16783 ,13119 
2025-03-22,배추,10,상,12838 ,12304 ,10996 
2025-03-22,배추,10,중,8478 ,9434 ,8887 
2025-03-22,배추,10,하,7172 ,7279 ,7765 
2025-03-21,배추,10,특,16783 ,16439 ,13027 
2025-03-21,배추,10,상,12304 ,12157 ,11405 
2025-03-21,배추,10,중,9434 ,9519 ,9449 
2025-03-21,배추,10,하,7279 ,8460 ,7921 
2025-03-20,배추,10,특,16439 ,18178 ,12780 
2025-03-20,배추,10,상,12157 ,14373 ,11271 
2025-03-20,배추,10,중,9519 ,10582 ,8654 
2025-03-20,배추,10,하,8460 ,9015 ,7070 
2025-03-19,배추,10,특,18178 ,20598 ,13308 
2025-03-19,배추,10,상,14373 ,15782 ,12148 
2025-03-19,배추,10,중,10582 ,11374 ,9649 
2025-03-19,배추,10,하,9015 ,9505 ,7294 
2025-03-18,배추,10,특,20598 ,17919 ,0 
2025-03-18,배추,10,상,15782 ,14341 ,0 
2025-03-18,배추,10,중,11374 ,10056 ,0 
2025-03-18,배추,10,하,9505 ,8106 ,0 
2025-03-17,배추,10,특,17919 ,0 ,13493 
2025-03-17,배추,10,상,14341 ,0 ,12058 
2025-03-17,배추,10,중,10056 ,0 ,8119 
2025-03-17,배추,10,하,8106 ,0 ,6662 
2025-03-16,배추,10,특,0 ,17782 ,13187 
2025-03-16,배추,10,상,0 ,14452 ,11421 
2025-03-16,배추,10,중,0 ,9950 ,8328 
2025-03-16,배추,10,하,0 ,7488 ,6750 
2025-03-15,배추,10,특,17782 ,15679 ,12442 
2025-03-15,배추,10,상,14452 ,12902 ,10576 
2025-03-15,배추,10,중,9950 ,8928 ,8133 
2025-03-15,배추,10,하,7488 ,6774 ,7039 
2025-03-14,배추,10,특,15679 ,15716 ,13020 
2025-03-14,배추,10,상,12902 ,13844 ,11099 
2025-03-14,배추,10,중,8928 ,9589 ,8969 
2025-03-14,배추,10,하,6774 ,7898 ,7088 
2025-03-13,배추,10,특,15716 ,16113 ,11850 
2025-03-13,배추,10,상,13844 ,13194 ,10134 
2025-03-13,배추,10,중,9589 ,9795 ,8131 
2025-03-13,배추,10,하,7898 ,7829 ,6570 
