DATE,품목명,단위(키로),등급명,평균가격,전일,전년,반입량
2020-01-03,배추,10,0,9494,0,0,247
2020-01-03,배추,10,1,10827,0,0,35
2020-01-04,배추,10,1,10121,0,0,23
2020-01-04,배추,10,0,8902,0,0,162
2020-01-06,배추,10,1,10208,0,0,22
2020-01-06,배추,10,0,9078,0,0,158
2020-01-07,배추,10,1,10703,0,0,17
2020-01-07,배추,10,0,9958,0,0,118
2020-01-08,배추,10,1,10206,0,0,19
2020-01-08,배추,10,0,9258,0,0,136
2020-01-09,배추,10,1,10339,0,0,15
2020-01-09,배추,10,0,9051,0,0,110
2020-01-10,배추,10,1,10175,0,0,21
2020-01-10,배추,10,0,9168,0,0,150
2020-01-11,배추,10,1,9500,10175,3400,14
2020-01-11,배추,10,0,8736,9168,2775,103
2020-01-13,배추,10,0,8432,0,2479,193
2020-01-13,배추,10,1,9257,0,3100,27
2020-01-14,배추,10,0,8408,8432,0,129
2020-01-14,배추,10,1,9110,9257,0,18
2020-01-15,배추,10,0,8564,8408,2929,118
2020-01-15,배추,10,1,9300,9110,3350,16
2020-01-16,배추,10,1,9454,9300,3572,16
2020-01-16,배추,10,0,9036,8564,3323,115
2020-01-17,배추,10,0,8885,9036,3184,144
2020-01-17,배추,10,1,9423,9454,3787,20
2020-01-18,배추,10,0,8612,8885,2754,133
2020-01-18,배추,10,1,9048,9423,3040,19
2020-01-20,배추,10,0,8940,0,2556,149
2020-01-20,배추,10,1,9381,0,2800,21
2020-01-21,배추,10,0,9030,8940,0,139
2020-01-21,배추,10,1,9685,9381,0,19
2020-01-22,배추,10,1,10050,9685,2987,16
2020-01-22,배추,10,0,9269,9030,2662,114
2020-01-23,배추,10,0,9290,9269,2702,102
2020-01-23,배추,10,1,9917,10050,3059,14
2020-01-24,배추,10,0,6482,9290,2718,47
2020-01-24,배추,10,1,8000,9917,3146,6
2020-01-28,배추,10,0,8549,0,0,144
2020-01-28,배추,10,1,9513,0,0,20
2020-01-29,배추,10,0,8689,8549,3132,80
2020-01-29,배추,10,1,9276,9513,3635,11
2020-01-30,배추,10,0,8258,8689,3035,110
2020-01-30,배추,10,1,9333,9276,3436,15
2020-01-31,배추,10,1,9351,9333,3124,11
2020-01-31,배추,10,0,8609,8258,2593,83
2020-02-01,배추,10,0,8311,8609,2549,65
2020-02-01,배추,10,1,9000,9351,2889,9
2020-02-03,배추,10,0,8500,0,0,138
2020-02-03,배추,10,1,9041,0,0,19
2020-02-04,배추,10,0,8970,0,0,74
2020-02-04,배추,10,1,9572,0,0,10
2020-02-05,배추,10,0,9449,0,0,79
2020-02-05,배추,10,1,10137,0,0,11
2020-02-06,배추,10,1,9459,0,0,14
2020-02-06,배추,10,0,9022,0,0,101
2020-02-07,배추,10,0,8819,0,0,50
2020-02-07,배추,10,1,9600,0,0,7
2020-02-08,배추,10,0,9186,0,0,64
2020-02-08,배추,10,1,9800,0,0,9
2020-02-10,배추,10,0,8790,0,0,142
2020-02-10,배추,10,1,9770,0,0,20
2020-02-11,배추,10,0,8998,8790,0,93
2020-02-11,배추,10,1,9688,9770,0,13
2020-02-12,배추,10,0,9360,8998,3045,83
2020-02-12,배추,10,1,9700,9688,3516,11
2020-02-13,배추,10,0,9558,9360,2930,58
2020-02-13,배추,10,1,10100,9700,3694,8
2020-02-14,배추,10,1,9475,10100,3553,22
2020-02-14,배추,10,0,8909,9558,2775,159
2020-02-15,배추,10,0,8753,8909,2804,112
2020-02-15,배추,10,1,9227,9475,3256,16
2020-02-17,배추,10,0,9194,0,2527,109
2020-02-17,배추,10,1,9549,0,3083,15
2020-02-18,배추,10,0,9456,9194,0,67
2020-02-18,배추,10,1,9955,9549,0,9
2020-02-19,배추,10,0,8916,9456,2650,100
2020-02-19,배추,10,1,9500,9955,3199,14
2020-02-20,배추,10,1,9067,9500,3459,12
2020-02-20,배추,10,0,8658,8916,2799,88
2020-02-21,배추,10,0,9015,8658,2764,63
2020-02-21,배추,10,1,9594,9067,3277,9
2020-02-22,배추,10,0,9076,9015,2535,68
2020-02-22,배추,10,1,9485,9594,3062,9
2020-02-24,배추,10,0,9107,0,2489,126
2020-02-24,배추,10,1,9693,0,2700,18
2020-02-25,배추,10,0,9137,9107,0,78
2020-02-25,배추,10,1,9575,9693,0,11
2020-02-26,배추,10,0,9193,9137,2276,57
2020-02-26,배추,10,1,9800,9575,2636,8
2020-02-27,배추,10,1,9578,9800,2644,10
2020-02-27,배추,10,0,9205,9193,2378,73
2020-02-28,배추,10,1,9500,9578,2800,14
2020-02-28,배추,10,0,9122,9205,2565,99
2020-02-29,배추,10,0,8757,9122,2589,56
2020-02-29,배추,10,1,9300,9500,3050,8
2020-03-02,배추,10,0,9054,0,0,106
2020-03-02,배추,10,1,9600,0,0,15
2020-03-03,배추,10,0,8919,0,0,99
2020-03-03,배추,10,1,9500,0,0,14
2020-03-04,배추,10,0,8535,0,0,117
2020-03-04,배추,10,1,9550,0,0,16
2020-03-05,배추,10,1,9580,0,0,11
2020-03-05,배추,10,0,8669,0,0,80
2020-03-06,배추,10,0,8311,0,0,111
2020-03-06,배추,10,1,9356,0,0,15
2020-03-07,배추,10,0,8821,0,0,53
2020-03-07,배추,10,1,9200,0,0,7
2020-03-09,배추,10,0,8480,0,0,114
2020-03-09,배추,10,1,9300,0,0,16
2020-03-10,배추,10,0,8464,0,0,81
2020-03-10,배추,10,1,9174,0,0,11
2020-03-11,배추,10,0,8633,8464,0,83
2020-03-11,배추,10,1,9200,9174,0,11
2020-03-12,배추,10,0,8234,8633,2470,99
2020-03-12,배추,10,1,8918,9200,2746,14
2020-03-13,배추,10,0,8291,8234,2687,106
2020-03-13,배추,10,1,9000,8918,3045,15
2020-03-14,배추,10,1,9200,9000,3542,5
2020-03-14,배추,10,0,8850,8291,2817,40
2020-03-16,배추,10,0,8335,0,2544,120
2020-03-16,배추,10,1,9319,0,3034,17
2020-03-17,배추,10,0,8269,8335,2122,96
2020-03-17,배추,10,1,9145,9319,3200,13
2020-03-18,배추,10,0,8015,8269,0,123
2020-03-18,배추,10,1,9081,9145,0,17
2020-03-19,배추,10,0,7974,8015,2561,112
2020-03-19,배추,10,1,8800,9081,2962,16
2020-03-20,배추,10,1,9098,8800,2966,11
2020-03-20,배추,10,0,7991,7974,2349,83
2020-03-21,배추,10,0,8214,7991,2399,57
2020-03-21,배추,10,1,8982,9098,2755,8
2020-03-23,배추,10,0,8291,0,2343,113
2020-03-23,배추,10,1,9093,0,2800,16
2020-03-24,배추,10,0,8595,8291,2370,104
2020-03-24,배추,10,1,9552,9093,3000,14
2020-03-25,배추,10,0,8070,8595,0,123
