DATE,품목명,단위(키로),등급명,평균가격,전일,전년
2025-03-25,감자,20,특,76000 ,77000 ,0 
2025-03-25,감자,20,상,67869 ,69904 ,0 
2025-03-25,감자,20,중,52278 ,40332 ,0 
2025-03-25,감자,20,하,16184 ,15754 ,0 
2025-03-24,감자,20,특,77000 ,0 ,84391 
2025-03-24,감자,20,상,69904 ,0 ,74863 
2025-03-24,감자,20,중,40332 ,0 ,42736 
2025-03-24,감자,20,하,15754 ,0 ,19155 
2025-03-23,감자,20,특,0 ,75920 ,82853 
2025-03-23,감자,20,상,0 ,67800 ,70823 
2025-03-23,감자,20,중,0 ,40174 ,39251 
2025-03-23,감자,20,하,0 ,14524 ,20484 
2025-03-22,감자,20,특,75920 ,74828 ,82950 
2025-03-22,감자,20,상,67800 ,68555 ,62991 
2025-03-22,감자,20,중,40174 ,35425 ,31978 
2025-03-22,감자,20,하,14524 ,14912 ,16730 
2025-03-21,감자,20,특,74828 ,73000 ,85716 
2025-03-21,감자,20,상,68555 ,58532 ,73679 
2025-03-21,감자,20,중,35425 ,27352 ,40540 
2025-03-21,감자,20,하,14912 ,14200 ,22113 
2025-03-20,감자,20,특,73000 ,74313 ,82682 
2025-03-20,감자,20,상,58532 ,67285 ,62681 
2025-03-20,감자,20,중,27352 ,39267 ,32928 
2025-03-20,감자,20,하,14200 ,15345 ,19291 
2025-03-19,감자,20,특,74313 ,78119 ,80345 
2025-03-19,감자,20,상,67285 ,66003 ,60732 
2025-03-19,감자,20,중,39267 ,33490 ,35679 
2025-03-19,감자,20,하,15345 ,12928 ,21644 
2025-03-18,감자,20,특,78119 ,83730 ,0 
2025-03-18,감자,20,상,66003 ,70852 ,0 
2025-03-18,감자,20,중,33490 ,36203 ,0 
2025-03-18,감자,20,하,12928 ,15725 ,0 
2025-03-17,감자,20,특,83730 ,0 ,79606 
2025-03-17,감자,20,상,70852 ,0 ,69891 
2025-03-17,감자,20,중,36203 ,0 ,43268 
2025-03-17,감자,20,하,15725 ,0 ,24369 
2025-03-16,감자,20,특,0 ,75000 ,79126 
2025-03-16,감자,20,상,0 ,64015 ,64320 
2025-03-16,감자,20,중,0 ,43580 ,36039 
2025-03-16,감자,20,하,0 ,22294 ,20434 
2025-03-15,감자,20,특,75000 ,66300 ,76552 
