날짜,품목,품종,등급,거래단위,최저가,최고가,평균가,전일대비 등락,전일 평균대비,전7일 평균대비,전년 동월동일 평균대비
2025.05.12,고구마,고구마,특,10kg상자,36000,44500,41385,-729,"42,114(98.3%)","40,478(102.2%)","53,324(77.6%)"
2025.05.12,고구마,고구마,상,10kg상자,22500,36000,27147,"-2,443","29,590(91.7%)","28,738(94.5%)","39,325(69%)"
2025.05.12,고구마,고구마,보통,10kg상자,14000,22500,19019,"-1,084","20,103(94.6%)","19,992(95.1%)","27,625(68.8%)"
2025.05.12,고구마,고구마,하,10kg상자,3500,14000,9077,-828,"9,905(91.6%)","10,166(89.3%)","14,507(62.6%)"
2025.05.12,고구마,호박밤 고구마,특,10kg상자,34000,44500,42462,-5,"42,467(100%)","38,943(109%)","47,350(89.7%)"
2025.05.12,고구마,호박밤 고구마,상,10kg상자,22000,34000,26121,"-5,430","31,551(82.8%)","28,876(90.5%)","34,878(74.9%)"
2025.05.12,고구마,호박밤 고구마,보통,10kg상자,15500,22000,19305,"-2,232","21,537(89.6%)","20,541(94%)","26,905(71.8%)"
2025.05.12,고구마,호박밤 고구마,하,10kg상자,3500,15500,9723,"-1,675","11,398(85.3%)","11,261(86.3%)","15,139(64.2%)"
2025.05.12,고구마,호박 고구마,특,10kg상자,37000,44500,41742,-432,"42,174(99%)","40,806(102.3%)","53,370(78.2%)"
2025.05.12,고구마,호박 고구마,상,10kg상자,23000,37000,27575,"-2,464","30,039(91.8%)","29,358(93.9%)","39,451(69.9%)"
2025.05.12,고구마,호박 고구마,보통,10kg상자,14000,23000,18972,"-1,550","20,522(92.4%)","20,239(93.7%)","27,798(68.2%)"
2025.05.12,고구마,호박 고구마,하,10kg상자,3500,14000,8913,"-1,370","10,283(86.7%)","10,350(86.1%)","15,081(59.1%)"
2025.05.12,고구마,고구마 호풍미,특,10kg상자,32000,32000,32000,"""""","32,000(100%)","31,417(101.9%)","30,000(106.7%)"
2025.05.12,고구마,고구마 호풍미,상,10kg상자,28000,32000,29763,"""""","29,763(100%)","29,296(101.6%)","28,255(105.3%)"
2025.05.12,고구마,고구마 호풍미,보통,10kg상자,15000,28000,23406,"""""","23,406(100%)","22,361(104.7%)","23,642(99%)"
2025.05.12,고구마,고구마 호풍미,하,10kg상자,5500,15000,12804,"""""","12,804(100%)","12,503(102.4%)","13,214(96.9%)"
2025.05.12,감자,감자,특,20kg상자,62000,63000,62546,"5,546","57,000(109.7%)","58,284(107.3%)","54,239(115.3%)"
2025.05.12,감자,감자,상,20kg상자,57500,62000,59702,"4,468","55,234(108.1%)","55,474(107.6%)","49,872(119.7%)"
2025.05.12,감자,감자,보통,20kg상자,50000,57500,54750,"1,983","52,767(103.8%)","51,561(106.2%)","45,790(119.6%)"
2025.05.12,감자,감자,하,20kg상자,5000,50000,34795,969,"33,826(102.9%)","31,604(110.1%)","24,939(139.5%)"
2025.05.12,감자,감자 수미,특,20kg상자,62000,63000,62749,"5,847","56,902(110.3%)","58,016(108.2%)","54,821(114.5%)"
2025.05.12,감자,감자 수미,상,20kg상자,57500,62000,59988,"4,452","55,536(108%)","55,579(107.9%)","50,018(119.9%)"
2025.05.12,감자,감자 수미,보통,20kg상자,48000,57500,54137,725,"53,412(101.4%)","51,642(104.8%)","45,967(117.8%)"
2025.05.12,감자,감자 수미,하,20kg상자,5000,48000,33651,-957,"34,608(97.2%)","31,272(107.6%)","25,251(133.3%)"
2025.05.12,감자,감자 두백,특,20kg상자,62000,63000,62522,"6,522","56,000(111.6%)","55,742(112.2%)","40,000(156.3%)"
2025.05.12,감자,감자 두백,상,20kg상자,46000,62000,55967,"2,028","53,939(103.8%)","52,240(107.1%)","29,419(190.2%)"
2025.05.12,감자,감자 두백,보통,20kg상자,31000,46000,36600,"-1,011","37,611(97.3%)","37,806(96.8%)","20,984(174.4%)"
2025.05.12,감자,감자 두백,하,20kg상자,4000,31000,21906,"1,084","20,822(105.2%)","18,047(121.4%)","11,783(185.9%)"
