year,month,day,avg_price,rate
2025,4,14,10379,HIGH
2025,4,15,10262,HIGH
2025,4,16,9088,HIGH
2025,4,17,8262,HIGH
2025,4,18,9961,HIGH
2025,4,19,10313,HIGH
2025,4,21,8079,HIGH
2025,4,22,8440,HIGH
2025,4,23,7528,HIGH
2025,4,24,8215,HIGH
2025,4,25,8440,HIGH
2025,4,26,9998,HIGH
2025,4,28,7057,HIGH
2025,4,29,8012,HIGH
2025,4,30,8557,HIGH
2025,5,1,9539,HIGH
2025,5,2,6986,HIGH
2025,5,3,8986,HIGH
2025,5,5,7343,HIGH
2025,5,6,6908,HIGH
2025,5,7,6518,HIGH
2025,5,8,8573,HIGH
2025,5,9,7547,HIGH
2025,5,10,4784,HIGH
2025,5,12,4976,HIGH
2025,5,13,6726,HIGH
2025,5,14,4308,HIGH
2025,5,15,6171,HIGH
2025,5,16,3861,HIGH
2025,5,17,3908,HIGH
2025,5,19,6468,HIGH
2025,5,20,5981,HIGH
2025,5,21,6247,HIGH
2025,5,22,3631,HIGH
2025,5,23,4522,HIGH
2025,5,24,3337,HIGH
2025,5,26,6487,HIGH
2025,5,27,4350,HIGH
2025,5,28,6196,HIGH
2025,5,29,5553,HIGH
2025,5,30,7759,HIGH
2025,5,31,6290,HIGH
2025,6,1,6282,HIGH
2025,6,2,6133,HIGH
2025,6,3,6295,HIGH
2025,6,4,6308,HIGH
2025,6,5,6415,HIGH
2025,6,6,6416,HIGH
2025,6,7,6345,HIGH
2025,6,8,6442,HIGH
2025,6,9,6432,HIGH
2025,6,10,6482,HIGH
2025,6,11,6423,HIGH
2025,6,12,6654,HIGH
2025,6,13,6728,HIGH
2025,6,14,6808,HIGH
2025,6,15,6878,HIGH
2025,6,16,6826,HIGH
2025,6,17,6909,HIGH
2025,6,18,6966,HIGH
2025,6,19,7032,HIGH
2025,6,20,7073,HIGH
2025,6,21,7136,HIGH
2025,6,22,7191,HIGH
2025,6,23,7060,HIGH
2025,6,24,7153,HIGH
2025,6,25,7197,HIGH
2025,6,26,7240,HIGH
2025,6,27,7387,HIGH
2025,6,28,7135,HIGH
2025,4,14,15696,SPECIAL
2025,4,15,15986,SPECIAL
2025,4,16,15664,SPECIAL
2025,4,17,15052,SPECIAL
2025,4,18,16502,SPECIAL
2025,4,19,13722,SPECIAL
2025,4,21,14756,SPECIAL
2025,4,22,14765,SPECIAL
2025,4,23,14042,SPECIAL
2025,4,24,15311,SPECIAL
2025,4,25,14890,SPECIAL
2025,4,26,16180,SPECIAL
2025,4,28,13214,SPECIAL
2025,4,29,12840,SPECIAL
2025,4,30,14442,SPECIAL
2025,5,1,15845,SPECIAL
2025,5,2,12219,SPECIAL
2025,5,3,13165,SPECIAL
2025,5,5,15067,SPECIAL
2025,5,6,14822,SPECIAL
2025,5,7,13920,SPECIAL
2025,5,8,14758,SPECIAL
2025,5,9,13094,SPECIAL
2025,5,10,10479,SPECIAL
2025,5,12,11960,SPECIAL
2025,5,13,10780,SPECIAL
2025,5,14,8608,SPECIAL
2025,5,15,11722,SPECIAL
2025,5,16,4488,SPECIAL
2025,5,17,5994,SPECIAL
2025,5,19,8013,SPECIAL
2025,5,20,6996,SPECIAL
2025,5,21,8052,SPECIAL
2025,5,22,4932,SPECIAL
2025,5,23,5374,SPECIAL
2025,5,24,4435,SPECIAL
2025,5,26,7453,SPECIAL
2025,5,27,5707,SPECIAL
2025,5,28,7027,SPECIAL
2025,5,29,6498,SPECIAL
2025,5,30,8889,SPECIAL
2025,5,31,8097,SPECIAL
2025,6,1,7606,SPECIAL
2025,6,2,7595,SPECIAL
2025,6,3,7630,SPECIAL
2025,6,4,7735,SPECIAL
2025,6,5,7713,SPECIAL
2025,6,6,7698,SPECIAL
2025,6,7,7842,SPECIAL
2025,6,8,8085,SPECIAL
2025,6,9,8127,SPECIAL
2025,6,10,8297,SPECIAL
2025,6,11,8446,SPECIAL
2025,6,12,8467,SPECIAL
2025,6,13,8653,SPECIAL
2025,6,14,8724,SPECIAL
2025,6,15,8871,SPECIAL
2025,6,16,8825,SPECIAL
2025,6,17,8882,SPECIAL
2025,6,18,8984,SPECIAL
2025,6,19,9113,SPECIAL
2025,6,20,9337,SPECIAL
2025,6,21,9473,SPECIAL
2025,6,22,9576,SPECIAL
2025,6,23,9746,SPECIAL
2025,6,24,9762,SPECIAL
2025,6,25,9911,SPECIAL
2025,6,26,9933,SPECIAL
2025,6,27,9724,SPECIAL
2025,6,28,9886,SPECIAL
