year,month,day,avg_price,rate
2025,6,3,688,HIGH
2025,6,4,698,HIGH
2025,6,5,702,HIGH
2025,6,6,697,HIGH
2025,6,7,700,HIGH
2025,6,8,708,HIGH
2025,6,9,708,HIGH
2025,6,10,734,HIGH
2025,6,11,735,HIGH
2025,6,12,733,HIGH
2025,6,13,741,HIGH
2025,6,14,747,HIGH
2025,6,15,755,HIGH
2025,6,16,755,HIGH
2025,6,17,769,HIGH
2025,6,18,774,HIGH
2025,6,19,785,HIGH
2025,6,20,786,HIGH
2025,6,21,777,HIGH
2025,6,22,785,HIGH
2025,6,23,782,HIGH
2025,6,24,797,HIGH
2025,6,25,801,HIGH
2025,6,26,798,HIGH
2025,6,27,796,HIGH
2025,6,28,795,HIGH
2025,6,29,799,HIGH
2025,6,30,802,HIGH
2025,6,3,789,SPECIAL
2025,6,4,860,SPECIAL
2025,6,5,847,SPECIAL
2025,6,6,864,SPECIAL
2025,6,7,879,SPECIAL
2025,6,8,885,SPECIAL
2025,6,9,901,SPECIAL
2025,6,10,821,SPECIAL
2025,6,11,839,SPECIAL
2025,6,12,852,SPECIAL
2025,6,13,844,SPECIAL
2025,6,14,849,SPECIAL
2025,6,15,855,SPECIAL
2025,6,16,857,SPECIAL
2025,6,17,864,SPECIAL
2025,6,18,873,SPECIAL
2025,6,19,870,SPECIAL
2025,6,20,862,SPECIAL
2025,6,21,869,SPECIAL
2025,6,22,881,SPECIAL
2025,6,23,882,SPECIAL
2025,6,24,900,SPECIAL
2025,6,25,898,SPECIAL
2025,6,26,896,SPECIAL
2025,6,27,906,SPECIAL
2025,6,28,910,SPECIAL
2025,6,29,910,SPECIAL
2025,6,30,926,SPECIAL
