year,month,day,avg_price,rate
2025,4,14,59026,HIGH
2025,4,15,59431,HIGH
2025,4,16,61559,HIGH
2025,4,17,60160,HIGH
2025,4,18,60534,HIGH
2025,4,19,60758,HIGH
2025,4,21,58747,HIGH
2025,4,22,58970,HIGH
2025,4,23,58059,HIGH
2025,4,24,59050,HIGH
2025,4,25,56007,HIGH
2025,4,26,49192,HIGH
2025,4,28,45502,HIGH
2025,4,29,50289,HIGH
2025,4,30,51465,HIGH
2025,5,1,55575,HIGH
2025,5,2,58035,HIGH
2025,5,3,61026,HIGH
2025,5,5,60955,HIGH
2025,5,6,58886,HIGH
2025,5,7,55634,HIGH
2025,5,8,52374,HIGH
2025,5,9,50370,HIGH
2025,5,10,54193,HIGH
2025,5,12,58223,HIGH
2025,5,13,63759,HIGH
2025,5,14,60702,HIGH
2025,5,15,63418,HIGH
2025,5,16,61987,HIGH
2025,5,17,63686,HIGH
2025,5,19,65458,HIGH
2025,5,20,65327,HIGH
2025,5,21,69633,HIGH
2025,5,22,64999,HIGH
2025,5,23,64711,HIGH
2025,5,24,55381,HIGH
2025,5,26,56436,HIGH
2025,5,27,50229,HIGH
2025,5,28,48544,HIGH
2025,5,29,41094,HIGH
2025,5,30,37062,HIGH
2025,5,31,31890,HIGH
2025,6,1,34422,HIGH
2025,6,2,36912,HIGH
2025,6,3,37613,HIGH
2025,6,4,37745,HIGH
2025,6,5,37764,HIGH
2025,6,6,37338,HIGH
2025,6,7,37030,HIGH
2025,6,8,32239,HIGH
2025,6,9,32149,HIGH
2025,6,10,32201,HIGH
2025,6,11,31101,HIGH
2025,6,12,30077,HIGH
2025,6,13,31404,HIGH
2025,6,14,31001,HIGH
2025,6,15,30608,HIGH
2025,6,16,29137,HIGH
2025,6,17,28446,HIGH
2025,6,18,29139,HIGH
2025,6,19,27962,HIGH
2025,6,20,29210,HIGH
2025,6,21,28186,HIGH
2025,6,22,27884,HIGH
2025,6,23,28394,HIGH
2025,6,24,26444,HIGH
2025,6,25,27080,HIGH
2025,6,26,26077,HIGH
2025,6,27,27654,HIGH
2025,6,28,26860,HIGH
2025,4,14,64424,SPECIAL
2025,4,15,64165,SPECIAL
2025,4,16,64808,SPECIAL
2025,4,17,65688,SPECIAL
2025,4,18,64961,SPECIAL
2025,4,19,64137,SPECIAL
2025,4,21,63774,SPECIAL
2025,4,22,63114,SPECIAL
2025,4,23,61830,SPECIAL
2025,4,24,63497,SPECIAL
2025,4,25,58756,SPECIAL
2025,4,26,54904,SPECIAL
2025,4,28,50607,SPECIAL
2025,4,29,54022,SPECIAL
2025,4,30,56225,SPECIAL
2025,5,1,59624,SPECIAL
2025,5,2,64413,SPECIAL
2025,5,3,67477,SPECIAL
2025,5,5,64363,SPECIAL
2025,5,6,61602,SPECIAL
2025,5,7,58455,SPECIAL
2025,5,8,55394,SPECIAL
2025,5,9,53499,SPECIAL
2025,5,10,55959,SPECIAL
2025,5,12,61067,SPECIAL
2025,5,13,67196,SPECIAL
2025,5,14,63613,SPECIAL
2025,5,15,67296,SPECIAL
2025,5,16,66847,SPECIAL
2025,5,17,67741,SPECIAL
2025,5,19,70957,SPECIAL
2025,5,20,71441,SPECIAL
2025,5,21,75652,SPECIAL
2025,5,22,74475,SPECIAL
2025,5,23,73446,SPECIAL
2025,5,24,67132,SPECIAL
2025,5,26,69981,SPECIAL
2025,5,27,70969,SPECIAL
2025,5,28,71773,SPECIAL
2025,5,29,62075,SPECIAL
2025,5,30,54638,SPECIAL
2025,5,31,45882,SPECIAL
2025,6,1,47496,SPECIAL
2025,6,2,54396,SPECIAL
2025,6,3,53951,SPECIAL
2025,6,4,54640,SPECIAL
2025,6,5,55116,SPECIAL
2025,6,6,53736,SPECIAL
2025,6,7,53969,SPECIAL
2025,6,8,52861,SPECIAL
2025,6,9,51793,SPECIAL
2025,6,10,51591,SPECIAL
2025,6,11,49950,SPECIAL
2025,6,12,49980,SPECIAL
2025,6,13,49242,SPECIAL
2025,6,14,48642,SPECIAL
2025,6,15,48145,SPECIAL
2025,6,16,48206,SPECIAL
2025,6,17,48455,SPECIAL
2025,6,18,47359,SPECIAL
2025,6,19,48576,SPECIAL
2025,6,20,48679,SPECIAL
2025,6,21,51767,SPECIAL
2025,6,22,49428,SPECIAL
2025,6,23,49985,SPECIAL
2025,6,24,49908,SPECIAL
2025,6,25,50842,SPECIAL
2025,6,26,50857,SPECIAL
2025,6,27,50839,SPECIAL
2025,6,28,50124,SPECIAL
