year,month,day,avg_price,gap
1996,1,3,153,0
1996,1,4,149,-4
1996,1,5,151,2
1996,1,8,153,2
1996,1,9,153,0
1996,1,10,155,2
1996,1,11,156,1
1996,1,12,159,3
1996,1,15,160,1
1996,1,16,160,0
1996,1,17,164,4
1996,1,18,164,0
1996,1,19,165,1
1996,1,22,165,0
1996,1,23,165,0
1996,1,24,165,0
1996,1,25,166,1
1996,1,26,166,0
1996,1,29,167,1
1996,1,30,166,-1
1996,1,31,166,0
1996,2,1,167,1
1996,2,2,168,1
1996,2,5,167,-1
1996,2,6,168,1
1996,2,7,168,0
1996,2,8,170,2
1996,2,9,170,0
1996,2,12,178,8
1996,2,13,183,5
1996,2,14,183,0
1996,2,15,183,0
1996,2,16,186,3
1996,2,21,186,0
1996,2,22,188,2
1996,2,23,188,0
1996,2,26,191,3
1996,2,27,192,1
1996,2,28,190,-2
1996,2,29,191,1
1996,3,4,191,0
1996,3,5,190,-1
1996,3,6,190,0
1996,3,7,190,0
1996,3,8,191,1
1996,3,11,197,6
1996,3,12,202,5
1996,3,13,202,0
1996,3,14,202,0
1996,3,15,202,0
1996,3,18,203,1
1996,3,19,203,0
1996,3,20,202,-1
1996,3,21,202,0
1996,3,22,201,-1
1996,3,25,200,-1
1996,3,26,199,-1
1996,3,27,199,0
1996,3,28,199,0
1996,3,29,198,-1
1996,4,1,196,-2
1996,4,2,196,0
1996,4,3,196,0
1996,4,4,194,-2
1996,4,6,194,0
1996,4,8,192,-2
1996,4,9,190,-2
1996,4,10,190,0
1996,4,12,190,0
1996,4,15,188,-2
1996,4,16,188,0
1996,4,17,187,-1
1996,4,18,187,0
1996,4,19,187,0
1996,4,22,186,-1
1996,4,23,186,0
1996,4,24,187,1
1996,4,25,187,0
1996,4,26,188,1
1996,4,29,191,3
1996,4,30,194,3
1996,5,2,193,-1
1996,5,3,195,2
1996,5,6,194,-1
1996,5,7,194,0
1996,5,8,193,-1
1996,5,9,192,-1
1996,5,10,192,0
1996,5,13,191,-1
1996,5,14,191,0
1996,5,15,191,0
1996,5,16,190,-1
1996,5,17,190,0
1996,5,20,189,-1
1996,5,21,184,-5
1996,5,22,181,-3
1996,5,23,172,-9
1996,5,27,168,-4
1996,5,28,164,-4
1996,5,29,162,-2
1996,5,30,160,-2
1996,5,31,158,-2
1996,6,3,156,-2
1996,6,4,150,-6
1996,6,5,150,0
1996,6,7,152,2
1996,6,10,151,-1
1996,6,11,150,-1
1996,6,12,148,-2
1996,6,13,147,-1
1996,6,14,143,-4
1996,6,17,141,-2
1996,6,18,142,1
1996,6,19,140,-2
1996,6,20,138,-2
1996,6,21,140,2
1996,6,24,141,1
1996,6,25,138,-3
1996,6,26,136,-2
1996,6,27,136,0
1996,6,28,137,1
1996,7,1,130,-7
1996,7,2,128,-2
1996,7,3,128,0
1996,7,4,130,2
1996,7,5,130,0
1996,7,6,130,0
1996,7,8,130,0
1996,7,9,130,0
1996,7,10,129,-1
1996,7,11,129,0
1996,7,12,129,0
1996,7,15,128,-1
1996,7,16,128,0
1996,7,18,127,-1
1996,7,19,125,-2
1996,7,22,121,-4
1996,7,23,120,-1
1996,7,24,120,0
1996,7,25,120,0
1996,7,26,120,0
1996,7,29,120,0
1996,7,30,118,-2
1996,7,31,116,-2
1996,8,1,116,0
1996,8,2,115,-1
1996,8,5,114,-1
1996,8,6,116,2
1996,8,7,118,2
1996,8,8,121,3
1996,8,9,124,3
1996,8,12,127,3
1996,8,13,127,0
1996,8,14,127,0
1996,8,16,127,0
1996,8,19,128,1
1996,8,20,129,1
1996,8,21,128,-1
1996,8,22,131,3
1996,8,23,130,-1
1996,8,26,130,0
1996,8,27,130,0
1996,8,28,129,-1
1996,8,29,129,0
1996,8,30,128,-1
1996,9,2,127,-1
1996,9,3,127,0
1996,9,4,127,0
1996,9,5,127,0
1996,9,6,127,0
1996,9,9,125,-2
1996,9,10,125,0
1996,9,11,125,0
1996,9,12,125,0
1996,9,13,125,0
1996,9,16,123,-2
1996,9,17,123,0
1996,9,18,124,1
1996,9,19,122,-2
1996,9,20,122,0
1996,9,23,123,1
1996,9,24,123,0
1996,9,25,124,1
1996,9,30,124,0
1996,10,1,123,-1
1996,10,2,123,0
1996,10,4,123,0
1996,10,7,123,0
1996,10,8,122,-1
1996,10,9,122,0
1996,10,10,122,0
1996,10,11,121,-1
1996,10,14,121,0
1996,10,15,119,-2
1996,10,16,118,-1
1996,10,17,118,0
1996,10,18,118,0
1996,10,21,116,-2
1996,10,22,114,-2
1996,10,23,114,0
1996,10,24,114,0
1996,10,25,114,0
1996,10,28,112,-2
1996,10,29,112,0
1996,10,30,112,0
1996,10,31,111,-1
1996,11,1,111,0
1996,11,4,111,0
1996,11,5,112,1
1996,11,6,113,1
1996,11,7,112,-1
1996,11,8,113,1
1996,11,9,113,0
1996,11,11,113,0
1996,11,12,112,-1
1996,11,13,112,0
1996,11,14,110,-2
1996,11,15,109,-1
1996,11,16,109,0
1996,11,18,109,0
1996,11,19,109,0
1996,11,20,108,-1
1996,11,21,108,0
1996,11,22,108,0
1996,11,23,108,0
1996,11,25,107,-1
1996,11,26,107,0
1996,11,27,108,1
1996,11,28,108,0
1996,11,29,109,1
1996,11,30,109,0
1996,12,2,110,1
1996,12,3,114,4
1996,12,4,114,0
1996,12,5,114,0
1996,12,6,114,0
1996,12,7,115,1
1996,12,9,120,5
1996,12,10,123,3
1996,12,11,123,0
1996,12,12,121,-2
1996,12,13,123,2
1996,12,14,123,0
1996,12,16,123,0
1996,12,17,123,0
1996,12,18,124,1
1996,12,19,124,0
1996,12,20,126,2
1996,12,21,126,0
1996,12,23,126,0
1996,12,24,125,-1
1996,12,26,125,0
1996,12,27,128,3
1996,12,28,128,0
1996,12,30,129,1
1996,12,31,130,1
1997,1,3,130,0
1997,1,4,130,0
1997,1,6,134,4
1997,1,7,138,4
1997,1,8,138,0
1997,1,9,138,0
1997,1,10,138,0
1997,1,11,138,0
1997,1,13,139,1
1997,1,14,140,1
1997,1,15,142,2
1997,1,16,141,-1
1997,1,17,143,2
1997,1,18,136,-7
1997,1,20,140,4
1997,1,21,140,0
1997,1,22,140,0
1997,1,23,143,3
1997,1,24,145,2
1997,1,25,143,-2
1997,1,27,143,0
1997,1,28,143,0
1997,1,29,143,0
1997,1,30,143,0
1997,1,31,143,0
1997,2,1,143,0
1997,2,3,143,0
1997,2,4,143,0
1997,2,5,143,0
1997,2,6,143,0
1997,2,10,143,0
1997,2,11,143,0
1997,2,12,143,0
1997,2,13,143,0
1997,2,14,143,0
1997,2,15,143,0
1997,2,17,143,0
1997,2,18,144,1
1997,2,19,143,-1
1997,2,20,143,0
1997,2,21,141,-2
1997,2,22,141,0
1997,2,24,139,-2
1997,2,25,141,2
1997,2,26,142,1
1997,2,27,140,-2
1997,2,28,139,-1
1997,3,3,138,-1
1997,3,4,137,-1
1997,3,5,137,0
1997,3,6,137,0
1997,3,7,137,0
1997,3,8,137,0
1997,3,10,135,-2
1997,3,11,135,0
1997,3,12,131,-4
1997,3,13,130,-1
1997,3,14,130,0
1997,3,15,130,0
1997,3,17,128,-2
1997,3,18,127,-1
1997,3,19,126,-1
1997,3,20,125,-1
1997,3,21,125,0
1997,3,22,125,0
1997,3,24,128,3
1997,3,25,128,0
1997,3,26,128,0
1997,3,27,127,-1
1997,3,28,127,0
1997,3,29,125,-2
1997,3,31,123,-2
1997,4,1,123,0
1997,4,2,123,0
1997,4,3,123,0
1997,4,4,123,0
1997,4,7,123,0
1997,4,8,123,0
1997,4,9,125,2
1997,4,10,134,9
1997,4,11,136,2
1997,4,12,138,2
1997,4,14,136,-2
1997,4,15,136,0
1997,4,16,136,0
1997,4,17,137,1
1997,4,18,138,1
1997,4,19,138,0
1997,4,21,138,0
1997,4,22,138,0
1997,4,23,141,3
1997,4,24,143,2
1997,4,25,143,0
1997,4,26,143,0
1997,4,28,143,0
1997,4,29,143,0
1997,4,30,143,0
1997,5,2,142,-1
1997,5,3,142,0
1997,5,6,142,0
1997,5,7,143,1
1997,5,8,143,0
1997,5,9,142,-1
1997,5,10,141,-1
1997,5,12,139,-2
