year,month,day,avg_price,rate
2025,6,3,12380,HIGH
2025,6,4,14226,HIGH
2025,6,5,14720,HIGH
2025,6,6,14774,HIGH
2025,6,7,14736,HIGH
2025,6,8,14887,HIGH
2025,6,9,14392,HIGH
2025,6,10,14601,HIGH
2025,6,11,14544,HIGH
2025,6,12,14309,HIGH
2025,6,13,14363,HIGH
2025,6,14,14390,HIGH
2025,6,15,14328,HIGH
2025,6,16,14222,HIGH
2025,6,17,14119,HIGH
2025,6,18,13730,HIGH
2025,6,19,13992,HIGH
2025,6,20,13875,HIGH
2025,6,21,13555,HIGH
2025,6,22,13569,HIGH
2025,6,23,13387,HIGH
2025,6,24,13243,HIGH
2025,6,25,13384,HIGH
2025,6,26,13277,HIGH
2025,6,27,13116,HIGH
2025,6,28,13194,HIGH
2025,6,29,13087,HIGH
2025,6,30,12962,HIGH
2025,6,3,28266,SPECIAL
2025,6,4,25431,SPECIAL
2025,6,5,25040,SPECIAL
2025,6,6,25568,SPECIAL
2025,6,7,25581,SPECIAL
2025,6,8,25807,SPECIAL
2025,6,9,25264,SPECIAL
2025,6,10,24786,SPECIAL
2025,6,11,24291,SPECIAL
2025,6,12,24070,SPECIAL
2025,6,13,23535,SPECIAL
2025,6,14,23166,SPECIAL
2025,6,15,23226,SPECIAL
2025,6,16,22995,SPECIAL
2025,6,17,22988,SPECIAL
2025,6,18,22454,SPECIAL
2025,6,19,22198,SPECIAL
2025,6,20,21945,SPECIAL
2025,6,21,20932,SPECIAL
2025,6,22,20618,SPECIAL
2025,6,23,21186,SPECIAL
2025,6,24,20221,SPECIAL
2025,6,25,19900,SPECIAL
2025,6,26,19440,SPECIAL
2025,6,27,19044,SPECIAL
2025,6,28,19157,SPECIAL
2025,6,29,18726,SPECIAL
2025,6,30,18402,SPECIAL
