year,month,day,avg_price,rate
2025,6,3,33038,HIGH
2025,6,4,34341,HIGH
2025,6,5,33143,HIGH
2025,6,6,33786,HIGH
2025,6,7,33534,HIGH
2025,6,8,33953,HIGH
2025,6,9,32869,HIGH
2025,6,10,34253,HIGH
2025,6,11,34558,HIGH
2025,6,12,35109,HIGH
2025,6,13,34931,HIGH
2025,6,14,33954,HIGH
2025,6,15,34462,HIGH
2025,6,16,33989,HIGH
2025,6,17,33836,HIGH
2025,6,18,33969,HIGH
2025,6,19,34067,HIGH
2025,6,20,33796,HIGH
2025,6,21,33328,HIGH
2025,6,22,33417,HIGH
2025,6,23,33372,HIGH
2025,6,24,32814,HIGH
2025,6,25,33121,HIGH
2025,6,26,32835,HIGH
2025,6,27,33760,HIGH
2025,6,28,33064,HIGH
2025,6,29,33725,HIGH
2025,6,30,33224,HIGH
2025,6,3,45819,SPECIAL
2025,6,4,43635,SPECIAL
2025,6,5,43798,SPECIAL
2025,6,6,44489,SPECIAL
2025,6,7,42856,SPECIAL
2025,6,8,42907,SPECIAL
2025,6,9,42656,SPECIAL
2025,6,10,47307,SPECIAL
2025,6,11,46475,SPECIAL
2025,6,12,46282,SPECIAL
2025,6,13,46958,SPECIAL
2025,6,14,46861,SPECIAL
2025,6,15,46825,SPECIAL
2025,6,16,46869,SPECIAL
2025,6,17,47051,SPECIAL
2025,6,18,46470,SPECIAL
2025,6,19,47198,SPECIAL
2025,6,20,46694,SPECIAL
2025,6,21,46823,SPECIAL
2025,6,22,47299,SPECIAL
2025,6,23,47155,SPECIAL
2025,6,24,48068,SPECIAL
2025,6,25,46840,SPECIAL
2025,6,26,46851,SPECIAL
2025,6,27,46341,SPECIAL
2025,6,28,45959,SPECIAL
2025,6,29,46578,SPECIAL
2025,6,30,46590,SPECIAL
