year,month,day,avg_price,rate
2025,6,3,7544,HIGH
2025,6,4,9446,HIGH
2025,6,5,9171,HIGH
2025,6,6,9132,HIGH
2025,6,7,9228,HIGH
2025,6,8,8992,HIGH
2025,6,9,8894,HIGH
2025,6,10,9886,HIGH
2025,6,11,10070,HIGH
2025,6,12,9968,HIGH
2025,6,13,9764,HIGH
2025,6,14,9765,HIGH
2025,6,15,9629,HIGH
2025,6,16,9871,HIGH
2025,6,17,9628,HIGH
2025,6,18,9776,HIGH
2025,6,19,9663,HIGH
2025,6,20,9634,HIGH
2025,6,21,9629,HIGH
2025,6,22,9608,HIGH
2025,6,23,9701,HIGH
2025,6,24,9600,HIGH
2025,6,25,9838,HIGH
2025,6,26,9768,HIGH
2025,6,27,9744,HIGH
2025,6,28,9969,HIGH
2025,6,29,9908,HIGH
2025,6,30,9880,HIGH
2025,6,3,8339,SPECIAL
2025,6,4,10822,SPECIAL
2025,6,5,10814,SPECIAL
2025,6,6,11077,SPECIAL
2025,6,7,11042,SPECIAL
2025,6,8,11308,SPECIAL
2025,6,9,10974,SPECIAL
2025,6,10,11125,SPECIAL
2025,6,11,11410,SPECIAL
2025,6,12,11442,SPECIAL
2025,6,13,11623,SPECIAL
2025,6,14,11476,SPECIAL
2025,6,15,11714,SPECIAL
2025,6,16,11572,SPECIAL
2025,6,17,11854,SPECIAL
2025,6,18,11729,SPECIAL
2025,6,19,11629,SPECIAL
2025,6,20,11760,SPECIAL
2025,6,21,11744,SPECIAL
2025,6,22,11482,SPECIAL
2025,6,23,11820,SPECIAL
2025,6,24,11746,SPECIAL
2025,6,25,11843,SPECIAL
2025,6,26,11600,SPECIAL
2025,6,27,11406,SPECIAL
2025,6,28,11277,SPECIAL
2025,6,29,11106,SPECIAL
2025,6,30,11257,SPECIAL
