year,month,day,avg_price,gap
1996,3,13,2000,0
1996,3,14,2000,0
1996,3,15,2000,0
1996,3,18,2000,0
1996,3,19,2000,0
1996,3,20,2000,0
1996,3,21,2000,0
1996,3,22,2610,610
1996,3,25,2609,-1
1996,3,26,2508,-101
1996,3,27,2533,25
1996,3,28,2500,-33
1996,3,29,2500,0
1996,4,1,2467,-33
1996,4,2,2442,-25
1996,4,3,2442,0
1996,4,4,2442,0
1996,4,6,2433,-9
1996,4,8,2408,-25
1996,4,9,2400,-8
1996,4,10,2400,0
1996,4,12,2383,-17
1996,4,15,2283,-100
1996,4,16,2233,-50
1996,4,17,2217,-16
1996,4,18,2200,-17
1996,4,19,2175,-25
1996,4,22,2175,0
1996,4,23,2108,-67
1996,4,24,2067,-41
1996,4,25,2067,0
1996,4,26,2067,0
1996,4,29,2063,-4
1996,4,30,2088,25
1996,5,2,2058,-30
1996,5,3,2100,42
1996,5,6,2100,0
1996,5,7,2142,42
1996,5,8,2100,-42
1996,5,9,2096,-4
1996,5,10,2096,0
1996,5,13,2117,21
1996,5,14,2150,33
1996,5,15,2217,67
1996,5,16,2242,25
1996,5,17,2292,50
1996,5,20,2300,8
1996,5,21,2250,-50
1996,5,22,2117,-133
1996,5,23,2104,-13
1996,5,27,2113,9
1996,5,28,2113,0
1996,5,29,2113,0
1996,5,30,2104,-9
1996,5,31,2100,-4
1996,6,3,2108,8
1996,6,4,2042,-66
1996,6,5,2033,-9
1996,6,7,2033,0
1996,6,10,2017,-16
1996,6,11,2017,0
1996,6,12,2017,0
1996,6,13,2033,16
1996,6,14,2033,0
1996,6,17,2033,0
1996,6,18,2033,0
1996,6,19,2075,42
1996,6,20,2058,-17
1996,6,21,2025,-33
1996,6,24,2017,-8
1996,6,25,1992,-25
1996,6,26,1975,-17
1996,6,27,1967,-8
1996,6,28,1967,0
1996,7,1,1979,12
1996,7,2,1996,17
1996,7,3,2004,8
1996,7,4,2071,67
1996,7,5,2092,21
1996,7,6,2092,0
1996,7,8,2092,0
1996,7,9,2142,50
1996,7,10,2183,41
1996,7,11,2225,42
1996,7,12,2258,33
1996,7,15,2283,25
1996,7,16,2375,92
1996,7,18,2425,50
1996,7,19,2458,33
1996,7,22,2525,67
1996,7,23,2575,50
1996,7,24,2483,-92
1996,7,25,2450,-33
1996,7,26,2408,-42
1996,7,29,2463,55
1996,7,30,2504,41
1996,7,31,2438,-66
1996,8,1,2438,0
1996,8,2,2438,0
1996,8,5,2429,-9
1996,8,6,2429,0
1996,8,7,2405,-24
1996,8,8,2359,-46
1996,8,9,2405,46
1996,8,12,2486,81
1996,8,13,2623,137
1996,8,14,2668,45
1996,8,16,2741,73
1996,8,19,2764,23
1996,8,20,2745,-19
1996,8,21,2755,10
1996,8,22,2755,0
1996,8,23,2789,34
1996,8,26,2767,-22
1996,8,27,2767,0
1996,8,28,2733,-34
1996,8,29,2733,0
1996,8,30,2706,-27
1996,9,2,2694,-12
1996,9,3,2725,31
1996,9,4,2863,138
1996,9,5,2914,51
1996,9,6,2940,26
1996,9,9,3040,100
1996,9,10,3040,0
1996,9,11,3040,0
1996,9,12,3040,0
1996,9,13,3040,0
1996,9,16,3400,360
1996,9,17,3750,350
1996,9,18,3750,0
1996,9,19,3500,-250
1996,9,20,3500,0
1996,9,23,3500,0
1996,9,24,3500,0
1996,9,25,3500,0
1996,9,30,3500,0
1996,10,1,3500,0
1996,10,2,3500,0
1996,10,4,3000,-500
1997,3,19,3342,342
1997,3,20,3367,25
1997,3,21,3358,-9
1997,3,22,3458,100
1997,3,24,3458,0
1997,3,25,3442,-16
1997,3,26,3433,-9
1997,3,27,3450,17
1997,3,28,3467,17
1997,3,29,3467,0
1997,3,31,3450,-17
1997,4,1,3483,33
1997,4,2,3475,-8
1997,4,3,3475,0
1997,4,4,3492,17
1997,4,7,3458,-34
1997,4,8,3458,0
1997,4,9,3333,-125
1997,4,10,3475,142
1997,4,11,3467,-8
1997,4,12,3483,16
1997,4,14,3467,-16
1997,4,15,3467,0
1997,4,16,3458,-9
1997,4,17,3458,0
1997,4,18,3458,0
1997,4,19,3450,-8
1997,4,21,3400,-50
1997,4,22,3400,0
1997,4,23,3292,-108
1997,4,24,3250,-42
1997,4,25,3196,-54
1997,4,26,3192,-4
1997,4,28,3183,-9
1997,4,29,3142,-41
1997,4,30,3142,0
1997,5,2,3196,54
1997,5,3,3171,-25
1997,5,6,2954,-217
1997,5,7,2900,-54
1997,5,8,2842,-58
1997,5,9,2792,-50
1997,5,10,2750,-42
1997,5,12,2642,-108
1997,5,13,2550,-92
1997,5,15,2467,-83
1997,5,16,2392,-75
1997,5,17,2375,-17
1997,5,19,2354,-21
1997,5,20,2279,-75
1997,5,21,2254,-25
1997,5,22,2238,-16
1997,5,23,2229,-9
1997,5,24,2225,-4
1997,5,26,2217,-8
1997,5,27,2196,-21
1997,5,28,2171,-25
1997,5,29,2146,-25
1997,5,30,2129,-17
1997,5,31,2171,42
1997,6,2,2113,-58
1997,6,3,2113,0
1997,6,4,2113,0
1997,6,5,2113,0
1997,6,7,2138,25
1997,6,9,2121,-17
1997,6,10,2121,0
1997,6,11,2092,-29
1997,6,12,2046,-46
1997,6,13,2013,-33
1997,6,14,2004,-9
1997,6,16,1963,-41
1997,6,17,1838,-125
1997,6,18,1813,-25
1997,6,19,1804,-9
1997,6,20,1696,-108
1997,6,21,1646,-50
1997,6,23,1600,-46
1997,6,24,1575,-25
1997,6,25,1442,-133
1997,6,26,1425,-17
1997,6,27,1408,-17
1997,6,28,1417,9
1997,6,30,1408,-9
1997,7,1,1375,-33
1997,7,2,1346,-29
1997,7,3,1313,-33
1997,7,4,1288,-25
1997,7,5,1275,-13
1997,7,7,1258,-17
1997,7,8,1225,-33
1997,7,9,1225,0
1997,7,10,1225,0
1997,7,11,1229,4
1997,7,12,1246,17
1997,7,14,1296,50
1997,7,15,1296,0
1997,7,16,1342,46
1997,7,18,1425,83
1997,7,19,1433,8
1997,7,21,1496,63
1997,7,22,1517,21
1997,7,23,1554,37
1997,7,24,1596,42
1997,7,25,1621,25
1997,7,26,1621,0
1997,7,28,1567,-54
